ID,LOSSAPPROVALID,REGISTNO,JIGOU,JIGOU_ID,BRAND_ID,BRAND_NAME,CATE_NAME,COMMON_NAME,COMMON_ID,POS_ID,POS_NAME,ORIGINALCODE,PARTSTANDARDCODE,CHANGFANGJIA,CHGCOMPSET,UNITPRICE,NEW_IS4S,DC,VERIFYFINALDATE,OPERATETIMEFORHIS
39800673,C2019210200000001052,RDDG320190000013650145,大连,2102,2494,上汽通用别克,凯越,引擎盖隔热垫,12012,13,前仓盖组件,9011805,20001,76.0,1,76.0,1,59,2019-04-02,2019-04-02
39800674,C2019210200000001052,RDDG320190000013650145,大连,2102,2494,上汽通用别克,凯越,前雾灯框（右）,16024,54,前照灯,9023293,101038,44.0,1,44.0,1,59,2019-04-02,2019-04-02
39800675,C2019210200000001052,RDDG320190000013650145,大连,2102,2494,上汽通用别克,凯越,前大灯（右）,12280,54,前照灯,9007517,101000,884.0,1,884.0,1,59,2019-04-02,2019-04-02
39800676,C2019210200000001052,RDDG320190000013650145,大连,2102,2494,上汽通用别克,凯越,空气谐震器,11280,45,进气净化件,9006475,302035,177.0,1,177.0,1,59,2019-04-02,2019-04-02
39800677,C2019210200000001052,RDDG320190000013650145,大连,2102,2494,上汽通用别克,凯越,引擎盖,12006,13,前仓盖组件,90926867,20000,2080.0,1,2080.0,1,59,2019-04-02,2019-04-02
39800678,C2019210200000001052,RDDG320190000013650145,大连,2102,2494,上汽通用别克,凯越,前大灯（左）,14542,54,前照灯,9007516,100000,884.0,1,884.0,1,59,2019-04-02,2019-04-02
39800679,C2019210200000001052,RDDG320190000013650145,大连,2102,2494,上汽通用别克,凯越,前保险杠,14812,20,前保险杠,90799321,0,715.0,1,715.0,1,59,2019-04-02,2019-04-02
39802323,C2019210200340004478,RDDC320190000013928723,大连,2102,3294,东风,景逸,前叶子板轮眉（右）,13664,26,前叶子板组件,B11-5512110,40005,56.0,2,40.0,0,59,2019-04-22,2019-04-22
39802324,C2019210200340004478,RDDC320190000013928723,大连,2102,3294,东风,景逸,前大灯（右）,12280,54,前照灯,BX5A-4121010,101000,931.0,2,185.0,0,59,2019-04-22,2019-04-22
39802557,C2019210200340003654,RDDC320190000013775400,大连,2102,1419,长安,天语SX4两厢,前叶子板内衬（右）,13668,26,前叶子板组件,72321D56K00C000,40011,58.0,1,58.0,1,59,2019-04-04,2019-04-04
39802558,C2019210200340003654,RDDC320190000013775400,大连,2102,1419,长安,天语SX4两厢,前保险杠支架（右）,14956,20,前保险杠,7173156K40000,71,14.0,1,14.0,1,59,2019-04-04,2019-04-04
39802559,C2019210200340003654,RDDC320190000013775400,大连,2102,1419,长安,天语SX4两厢,前挡风玻璃雨刮水壶,12070,21,前风挡/雨刮,3840056K10000,30033,108.0,1,108.0,1,59,2019-04-04,2019-04-04
39802560,C2019210200340003654,RDDC320190000013775400,大连,2102,1419,长安,天语SX4两厢,前叶子板轮眉（右）,13664,26,前叶子板组件,7721080J005PK,40005,90.0,1,90.0,1,59,2019-04-04,2019-04-04
39802561,C2019210200340003654,RDDC320190000013775400,大连,2102,1419,长安,天语SX4两厢,前雾灯（右）,12309,54,前照灯,3550156K10000,101035,287.0,1,287.0,1,59,2019-04-04,2019-04-04
