BRAND_NAME,COMMON_NAME_x,ORIGINALCODE_x,LENGTH(ORIGINALCODE),L_R_x,PEIJIAN,COMMON_NAME_y,ORIGINALCODE_y,L_R_y,DISTINCT_SUM,len_y
广汽传祺,后叶子板轮眉（左）,7185011ASV0000M10,17,左,后叶子板轮眉,后叶子板轮眉（右）,7185012ASV0000M10,右,1,1
一汽奥迪,引擎盖密封条（左）,8W0823124,9,左,引擎盖密封条,引擎盖密封条（右）,8W0823125,右,1,1
广汽乘用车,发动机下护板（左）,6740021CAD0000,14,左,发动机下护板,发动机下护板（右）,6740022CAD0000,右,1,1
上汽MAXUS大通,水箱导流板（左）,C00084362,9,左,水箱导流板,水箱导流板（右）,C00084363,右,1,1
东风日产,前门锁总成（左）,805014CL1A-B105,15,左,前门锁总成,前门锁总成（右）,805004CL1A-B105,右,1,1
长丰猎豹,前转向节（左）,A003501150,10,左,前转向节,前转向节（右）,A003501160,右,1,1
进口凯迪拉克,引擎盖铰链（左）,15884430,8,左,引擎盖铰链,引擎盖铰链（右）,15884431,右,1,1
江淮,前减震器总成（左）,2905100U2212XZ,14,左,前减震器总成,前减震器总成（右）,2905200U2212XZ,右,1,1
上汽通用雪佛兰,尾灯支架（左）,26202353,8,左,尾灯支架,尾灯支架（右）,26202355,右,1,1
东风悦达起亚,车顶导水槽（左）,872304T010,10,左,车顶导水槽,车顶导水槽（右）,872404T010,右,1,1
众泰,前门（左）,T6006101010001B1127062,22,左,前门,前门（右）,T6006101020001B1127062,右,1,1
广汽乘用车,前叶子板灯（左）,7430001AAF0000,14,左,前叶子板灯,前叶子板灯（右）,7430002AAF0000,右,1,1
江淮,前侧围外板（左）,5401111V0010-DY,15,左,前侧围外板,前侧围外板（右）,5401211V0010-DY,右,1,1
长安福特,后保险杠卡扣（左）,DV4517B919AA,12,左,后保险杠卡扣,后保险杠卡扣（右）,DV4517B918AA,右,1,1
长安,滑门限位器（左）,4280210T01,10,左,滑门限位器,滑门限位器（右）,4280220T01,右,1,1
广汽本田,行李箱轮罩装饰板（左）,0A3021,6,左,行李箱轮罩装饰板,行李箱轮罩装饰板（右）,0A3022,右,1,1
吉普,后叶子板轮眉（左）,735640971,9,左,后叶子板轮眉,后叶子板轮眉（右）,735640970,右,1,1
华晨鑫源,前保险杠支架（左）,2803115-D01-BA,14,左,前保险杠支架,前保险杠支架（右）,2803116-D01-BA,右,1,1
广汽传祺,前门窗框外饰板（左）,7180041ASV0000C10,17,左,前门窗框外饰板,前门窗框外饰板（右）,7180042ASV0000C10,右,1,1
长安,前立柱外板（左）,0A1001,6,左,前立柱外板,前立柱外板（右）,0A0001,右,1,1
斯柯达,前保险杠饰条（左）,1ZD 807 717 GRU,15,左,前保险杠饰条,前保险杠饰条（右）,1ZD 807 718 GRU,右,1,1
奔驰,前叶子板（左）,A164881010164,13,左,前叶子板,前叶子板（右）,A164881020164,右,1,1
一汽奥迪,前纵梁连接板（左）,8R0806027,9,左,前纵梁连接板,前纵梁连接板（右）,8R0806028,右,1,1
长安福特,前纵梁支架（左）,CV61101B91AC,12,左,前纵梁支架,前纵梁支架（右）,CV61101B90AC,右,1,1
长安马自达,前门锁机构（左）,KR1159310,9,左,前门锁机构,前门锁机构（右）,KR1158310,右,1,1
长安标致雪铁龙,前雾灯（左）,9803277080,10,左,前雾灯,前雾灯（右）,9803277180,右,1,1
北汽,后叶子板轮眉（左）,A00082414_IK07,14,左,后叶子板轮眉,后叶子板轮眉（右）,A00082416_IK07,右,1,1
北汽,后雾灯（左）,1K18037200050,13,左,后雾灯,后雾灯（右）,1K18037200060,右,1,1
野马,后叶子板轮眉（左）,XAA5500501C54,13,左,后叶子板轮眉,后叶子板轮眉（右）,XAA5500502C54,右,1,1
野马,后门亮条（左）,XAA5500303D66,13,左,后门亮条,后门亮条（右）,XAA5500304D66,右,1,1
野马,后门饰条（左）,XAA5500301C54,13,左,后门饰条,后门饰条（右）,XAA5500302C54,右,1,1
野马,前叶子板轮眉（左）,XAA5500101C54,13,左,前叶子板轮眉,前叶子板轮眉（右）,XAA5500102C54,右,1,1
野马,前保险杠支架（左）,XAA2803051,10,左,前保险杠支架,前保险杠支架（右）,XAA2803052,右,1,1
野马,前大灯（左）,XAA4121010C54,13,左,前大灯,前大灯（右）,XAA4121020C54,右,1,1
众泰,前下摆臂（左）,2904100BAA01,12,左,前下摆臂,前下摆臂（右）,2904200BAA01,右,1,1
一汽马自达,后叶子板轮眉（左）,GV9S51W60,9,左,后叶子板轮眉,后叶子板轮眉（右）,GV9S51W50,右,1,1
东风日产,引擎盖铰链（左）,65401-CJ030-B107,16,左,引擎盖铰链,引擎盖铰链（右）,65400-CJ030-B107,右,1,1
昌河铃木,前保险杠支架（左）,28-1581,7,左,前保险杠支架,前保险杠支架（右）,28-1591,右,1,1
天津一汽威志,前大灯（左）,81110-TKA50,11,左,前大灯,前大灯（右）,81150-TKA50,右,1,1
长安,后叶子板轮眉（左）,822007002,9,左,后叶子板轮眉,后叶子板轮眉（右）,822008002,右,1,1
长安铃木,前叶子板前轮眉（左）,7722066M005PK,13,左,前叶子板前轮眉,前叶子板前轮眉（右）,7721066M005PK,右,1,1
一汽大众,前大灯安装底板（左）,L5K0807571H,11,左,前大灯安装底板,前大灯安装底板（右）,L5K0807572H,右,1,1
斯柯达,前保险杠格栅（左）,56G8073679B9,12,左,前保险杠格栅,前保险杠格栅（右）,56G8073689B9,右,1,1
北汽,后门（左）,62010100B81B0Y,14,左,后门,后门（右）,62010200B81B0Y,右,1,1
None,前叶子板（左）,18D821021B,10,左,前叶子板,前叶子板（右）,18D821022B,右,1,1
长安铃木,前大灯喷嘴盖（左）,3915466MA0ZXA,13,左,前大灯喷嘴盖,前大灯喷嘴盖（右）,3915366MA0ZXA,右,1,1
雪佛兰,前稳定杆拉杆（左）,26693171,8,左,前稳定杆拉杆,前稳定杆拉杆（右）,26693172,右,1,1
北汽,行李箱轮罩装饰板（左）,0A3021,6,左,行李箱轮罩装饰板,行李箱轮罩装饰板（右）,0A3022,右,1,1
东风,后门玻璃前导轨（左）,B12-6203151,11,左,后门玻璃前导轨,后门玻璃前导轨（右）,B12-6203150,右,1,1
郑州海马,前叶子板前内衬（左）,SA12-56-141,11,左,前叶子板前内衬,前叶子板前内衬（右）,SA12-56-131,右,1,1
奇瑞,前保险杠支架（左）,S218403210NADY,14,左,前保险杠支架,前保险杠支架（右）,S218403220NADY,右,1,1
长城,前叶子板后轮眉（左）,5512531P24A,11,左,前叶子板后轮眉,前叶子板后轮眉（右）,5512532P24A,右,1,1
